participant,tone,tone_onset,loop.thisN,key_resp_5.keys,key_resp_5.rt,mouseClick_5.clicked_name,thisA,thisB,thisC,typePrompt,cor,snr,env,CRMcorrect,CRMhit,hit,miss,cr,fa
2,stimuli/tones/silence.wav,2,18,noResp,NA,W_2,stimuli/Baron6dB/070201.wav,stimuli/Arrow/040300.wav,stimuli/Hopper/030001.wav,NA,1,silence,silence,W_2,1,0,0,1,0
2,stimuli/tones/FlatIEC-21dB.wav,1.25,19,noResp,NA,W_3,stimuli/Baron6dB/070202.wav,stimuli/Ringo/010203.wav,stimuli/Hopper/030002.wav,NA,0,-21dB,Flat,W_3,1,0,1,0,0
2,stimuli/tones/silence.wav,0.75,20,space,0.4508,G_3,stimuli/Baron6dB/070302.wav,stimuli/Laker/020301.wav,stimuli/Hopper/030301.wav,NA,0,silence,silence,G_3,1,0,0,0,1
2,stimuli/tones/silence.wav,0.75,21,noResp,NA,B_3,stimuli/Baron6dB/070002.wav,stimuli/Tiger/050100.wav,stimuli/Hopper/030103.wav,NA,1,silence,silence,B_3,1,0,0,1,0
2,stimuli/tones/PercTri-27dB.wav,2,22,space,2.8489,R_3,stimuli/Baron6dB/070102.wav,stimuli/Ringo/010102.wav,stimuli/Charlie/000100.wav,NA,1,-27dB,PercTri,R_3,1,1,0,0,0
2,stimuli/tones/silence.wav,1.25,23,noResp,NA,B_1,stimuli/Baron6dB/070300.wav,stimuli/Laker/020001.wav,stimuli/Tiger/050202.wav,NA,1,silence,silence,G_1,0,0,0,1,0
2,stimuli/tones/FlatIEC-18dB.wav,2,24,space,2.7376,R_4,stimuli/Baron6dB/070103.wav,stimuli/Laker/020102.wav,stimuli/Eagle/060301.wav,NA,1,-18dB,Flat,R_4,1,1,0,0,0
2,stimuli/tones/silence.wav,0.75,25,noResp,NA,R_2,stimuli/Baron6dB/070101.wav,stimuli/Eagle/060003.wav,stimuli/Hopper/030302.wav,NA,1,silence,silence,R_2,1,0,0,1,0
2,stimuli/tones/silence.wav,0.75,26,noResp,NA,R_1,stimuli/Baron6dB/070100.wav,stimuli/Tiger/050103.wav,stimuli/Ringo/010200.wav,NA,1,silence,silence,R_1,1,0,0,1,0
2,stimuli/tones/silence.wav,2,27,space,2.8635,G_4,stimuli/Baron6dB/070303.wav,stimuli/Hopper/030303.wav,stimuli/Ringo/010302.wav,NA,0,silence,silence,G_4,1,0,0,0,1
2,stimuli/tones/silence.wav,1.25,28,noResp,NA,W_4,stimuli/Baron6dB/070203.wav,stimuli/Hopper/030300.wav,stimuli/Laker/020001.wav,NA,1,silence,silence,W_4,1,0,0,1,0
2,stimuli/tones/silence.wav,1.25,29,noResp,NA,B_4,stimuli/Baron6dB/070003.wav,stimuli/Hopper/030001.wav,stimuli/Ringo/010100.wav,NA,1,silence,silence,B_4,1,0,0,1,0
2,stimuli/tones/PercTri-30dB.wav,0.75,30,space,1.4039,B_2,stimuli/Baron6dB/070001.wav,stimuli/Charlie/000202.wav,stimuli/Laker/020301.wav,NA,1,-30dB,PercTri,B_2,1,1,0,0,0
2,stimuli/tones/PercTri-27dB.wav,0.75,31,space,1.2823,G_2,stimuli/Baron6dB/070301.wav,stimuli/Laker/020000.wav,stimuli/Hopper/030003.wav,NA,1,-27dB,PercTri,G_2,1,1,0,0,0
2,stimuli/tones/FlatIEC-21dB.wav,2,32,noResp,NA,G_1,stimuli/Baron6dB/070300.wav,stimuli/Laker/020103.wav,stimuli/Laker/020000.wav,NA,0,-21dB,Flat,G_1,1,0,1,0,0
2,stimuli/tones/FlatIEC-33dB.wav,1.25,33,space,0.3596,B_4,stimuli/Baron6dB/070003.wav,stimuli/Tiger/050203.wav,stimuli/Laker/020003.wav,NA,1,-33dB,Flat,B_4,1,1,0,0,0
2,stimuli/tones/silence.wav,1.25,34,noResp,NA,W_4,stimuli/Baron6dB/070203.wav,stimuli/Ringo/010301.wav,stimuli/Arrow/040303.wav,NA,1,silence,silence,W_4,1,0,0,1,0
2,stimuli/tones/silence.wav,1.25,35,noResp,NA,B_2,stimuli/Baron6dB/070001.wav,stimuli/Hopper/030100.wav,stimuli/Hopper/030203.wav,NA,1,silence,silence,B_2,1,0,0,1,0
2,stimuli/tones/silence.wav,1.25,36,noResp,NA,R_3,stimuli/Baron6dB/070102.wav,stimuli/Eagle/060102.wav,stimuli/Arrow/040200.wav,NA,1,silence,silence,R_3,1,0,0,1,0
2,stimuli/tones/FlatIEC-27dB.wav,1.25,37,noResp,NA,R_4,stimuli/Baron6dB/070103.wav,stimuli/Hopper/030103.wav,stimuli/Ringo/010203.wav,NA,0,-27dB,Flat,R_4,1,0,1,0,0
2,stimuli/tones/FlatIEC-27dB.wav,0.75,38,space,0.0924,R_1,stimuli/Baron6dB/070100.wav,stimuli/Laker/020303.wav,stimuli/Ringo/010303.wav,NA,1,-27dB,Flat,R_1,1,1,0,0,0
2,stimuli/tones/silence.wav,0.75,39,noResp,NA,B_1,stimuli/Baron6dB/070000.wav,stimuli/Ringo/010201.wav,stimuli/Charlie/000003.wav,NA,1,silence,silence,B_1,1,0,0,1,0
2,stimuli/tones/PercTri-27dB.wav,1.25,40,space,1.915,B_2,stimuli/Baron6dB/070301.wav,stimuli/Arrow/040002.wav,stimuli/Arrow/040001.wav,NA,1,-27dB,PercTri,G_2,0,1,0,0,0
2,stimuli/tones/silence.wav,0.75,41,noResp,NA,B_3,stimuli/Baron6dB/070302.wav,stimuli/Hopper/030301.wav,stimuli/Charlie/000200.wav,NA,1,silence,silence,G_3,0,0,0,1,0
2,stimuli/tones/silence.wav,1.25,42,space,2.4481,G_4,stimuli/Baron6dB/070303.wav,stimuli/Hopper/030203.wav,stimuli/Charlie/000001.wav,NA,0,silence,silence,G_4,1,0,0,0,1
2,stimuli/tones/silence.wav,1.25,43,space,1.8363,R_2,stimuli/Baron6dB/070101.wav,stimuli/Eagle/060002.wav,stimuli/Arrow/040101.wav,NA,0,silence,silence,R_2,1,0,0,0,1
2,stimuli/tones/silence.wav,0.75,44,noResp,NA,W_2,stimuli/Baron6dB/070201.wav,stimuli/Arrow/040302.wav,stimuli/Eagle/060100.wav,NA,1,silence,silence,W_2,1,0,0,1,0
2,stimuli/tones/PercTri-33dB.wav,0.75,45,space,1.4274,B_3,stimuli/Baron6dB/070002.wav,stimuli/Eagle/060101.wav,stimuli/Tiger/050200.wav,NA,1,-33dB,PercTri,B_3,1,1,0,0,0
2,stimuli/tones/FlatIEC-33dB.wav,2,46,noResp,NA,W_3,stimuli/Baron6dB/070202.wav,stimuli/Arrow/040202.wav,stimuli/Charlie/000000.wav,NA,0,-33dB,Flat,W_3,1,0,1,0,0
2,stimuli/tones/FlatIEC-21dB.wav,2,47,space,2.7141,W_1,stimuli/Baron6dB/070200.wav,stimuli/Ringo/010003.wav,stimuli/Charlie/000202.wav,NA,1,-21dB,Flat,W_1,1,1,0,0,0
2,stimuli/tones/FlatIEC-30dB.wav,2,48,space,2.6939,B_2,stimuli/Baron6dB/070001.wav,stimuli/Charlie/000102.wav,stimuli/Laker/020201.wav,NA,1,-30dB,Flat,B_2,1,1,0,0,0
2,stimuli/tones/silence.wav,2,49,noResp,NA,G_1,stimuli/Baron6dB/070300.wav,stimuli/Laker/020100.wav,stimuli/Eagle/060303.wav,NA,1,silence,silence,G_1,1,0,0,1,0
2,stimuli/tones/silence.wav,0.75,50,noResp,NA,B_3,stimuli/Baron6dB/070002.wav,stimuli/Tiger/050002.wav,stimuli/Arrow/040103.wav,NA,1,silence,silence,B_3,1,0,0,1,0
